lat,1,2,3,4,5,6,7,8,9,10,11,12
85,166,175,173,190,210,226,229,220,205,188,177,171
75,173,177,180,196,213,226,232,224,211,194,183,175
65,179,181,190,204,219,231,237,230,216,201,188,180
55,192,193,202,214,223,234,239,237,227,214,201,193
45,204,206,212,222,231,242,252,254,246,230,217,206
35,226,225,230,237,245,257,267,268,262,251,239,229
25,262,264,266,266,268,268,267,266,269,271,266,262
15,275,280,279,272,262,252,244,239,244,254,264,271
5,252,255,250,241,235,235,235,238,239,241,243,249
-5,241,239,240,244,257,263,264,266,263,257,251,246
-15,246,246,254,265,274,279,281,283,280,269,260,251
-25,264,265,266,264,262,261,266,269,268,262,261,261
-35,259,257,254,247,240,235,238,239,240,242,245,250
-45,235,237,232,227,221,217,215,217,219,224,228,232
-55,218,218,214,208,205,200,199,199,201,207,212,217
-65,211,207,201,192,186,180,178,177,181,190,200,208
-75,199,187,173,160,152,146,143,142,148,162,181,197
-85,196,177,157,143,138,131,127,124,130,149,173,194